name,url,salary,description,requirements
Диспетчер чатов (в Яндекс),https://api.hh.ru/vacancies/95311669?host=hh.ru,"{'from': 30000, 'to': 44000, 'currency': 'RUR', 'gross': True}",,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...
Специалист службы поддержки (в Яндекс),https://api.hh.ru/vacancies/95311867?host=hh.ru,"{'from': 30000, 'to': 44000, 'currency': 'RUR', 'gross': True}",,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...
Менеджер чатов (в Яндекс),https://api.hh.ru/vacancies/95311347?host=hh.ru,"{'from': 30000, 'to': 44000, 'currency': 'RUR', 'gross': True}",,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...
Менеджер по заполнению анкет (удаленно),https://api.hh.ru/vacancies/95915582?host=hh.ru,"{'from': 36800, 'to': 60000, 'currency': 'RUR', 'gross': False}",,"Можно без опыта. Будет здорово, если у тебя есть опыт работы оператора call-центра. Образование: не имеет значения."
Оператор таблиц и баз данных,https://api.hh.ru/vacancies/94593888?host=hh.ru,"{'from': 35000, 'to': None, 'currency': 'RUR', 'gross': True}",,"Техническое образование будет плюсом. Уверенный пользователь ПК. Знание Excel, Google Таблиц. Навыки создания и форматирования таблиц, графиков, диаграмм и других..."
Младший QA-инженер,https://api.hh.ru/vacancies/96062109?host=hh.ru,"{'from': None, 'to': 199500, 'currency': 'RUR', 'gross': False}",,Владение ПК и знание MS Office на уровне продвинутого пользователя. Практические навыки тестирования web и mobile. Опыт в коммерческой разработке. 
Data analyst (BI-эксперт),https://api.hh.ru/vacancies/95152878?host=hh.ru,"{'from': None, 'to': 140000, 'currency': 'RUR', 'gross': False}",,"Уверенно владеете инструментами визуализации данных (Power BI/SuperSet/<highlighttext>Яндекс</highlighttext> DataLens). Знаете принципы экономико-математических методов прогнозирования, а также методов статического..."
Комплектовщик заказов на склад к партнёру Яндекс.Лавка (м. Арбатская),https://api.hh.ru/vacancies/95648106?host=hh.ru,"{'from': None, 'to': 106800, 'currency': 'RUR', 'gross': True}",,"Поддерживать порядок в дарксторе. — Внимательность, ответственность."
Менеджер чатов в Кинопоиск,https://api.hh.ru/vacancies/96103594?host=hh.ru,"{'from': 31000, 'to': None, 'currency': 'RUR', 'gross': False}",,"аккуратны, усидчивы и ответственны. — грамотно говорите и пишете на русском языке. — любите людей: обладаете высоким уровнем эмпатии и способны чувствовать..."
Менеджер чатов в Кинопоиск,https://api.hh.ru/vacancies/96103595?host=hh.ru,"{'from': 31000, 'to': None, 'currency': 'RUR', 'gross': False}",,"аккуратны, усидчивы и ответственны. — грамотно говорите и пишете на русском языке. — любите людей: обладаете высоким уровнем эмпатии и способны чувствовать..."
